,journal,title,ISSN,DOI,authors,affilations,date,pages,abstract,raw_url,keywords
0,International Journal of Fluid Power,Novel concept for stabilising a hydraulic circuit containing counterbalance valve and pressure compensated flow supply,2332-1180,10.1080/14399776.2016.1172446,"['Jesper K. Sørensen', 'Michael R. Hansen', 'Morten K. Ebbesen']","['Faculty of Engineering and Science, Department of Engineering Sciences, University of Agder, Grimstad, Norway', 'Faculty of Engineering and Science, Department of Engineering Sciences, University of Agder, Grimstad, Norway', 'Faculty of Engineering and Science, Department of Engineering Sciences, University of Agder, Grimstad, Norway']",2016-11-01,,"In this paper, a novel concept for stabilising a hydraulic system containing a counterbalance valve and a pressure compensated flow supply is presented. The concept utilizes a secondary circuit where a low-pass filtered value of the load pressure is generated and fed back to the compensator of the flow supply valve. The novel concept has been investigated theoretically and experimentally. A linear model has been developed to verify the improved stability conditions. The novel concept has been implemented on a single boom actuated by a cylinder. The results show that the pressure oscillations in an otherwise unstable system can be suppressed with the novel concept. This happens without any compromise on the load independence of the flow supply but with some limitations on response time.",https://journals.riverpublishers.com/index.php/IJFP/article/view/166,"['Oscillations', 'counterbalance valve', 'pressure compensated valve', 'instabilities in hydraulic systems', 'loadholding application']"
1,International Journal of Fluid Power,Open-loop Independent Metering Control of a Multi-DOF Forwarder Boom,2332-1180,10.13052/ijfp1439-9776.2121,"['Mikko  Huova', 'Jyrki  Tammisto', 'Matti  Linjama']","['Automation Technology and Mechanical Engineering, Tampere University, Korkeakoulunkatu 6, FI-33720, Tampere, Finland', 'Automation Technology and Mechanical Engineering, Tampere University, Korkeakoulunkatu 6, FI-33720, Tampere, Finland', 'Automation Technology and Mechanical Engineering, Tampere University, Korkeakoulunkatu 6, FI-33720, Tampere, Finland']",2020-11-04,147–168,"This study applies independent metering control in a forestry forwarder in order to improve its energy efficiency. The paper describes the control method, which enables smooth control mode switches and relatively accurate velocity tracking without position, velocity or acceleration feedback. The energy saving capability is analysed through measured, realistic, working cycle, which is repeated for the baseline system and independent metering system. The input energy taken by the control valves is compared. Furthermore, the power losses of the supply pump and diesel engine are modelled to achieve semi-empirical estimate for the diesel fuel consumption. The results show an average reduction of 25% in the fuel consumption when compared to the baseline.",https://journals.riverpublishers.com/index.php/IJFP/article/view/5819,"['independent metering', 'forwarder', 'energy saving']"
2,International Journal of Fluid Power,Modelling and experimental validation of the displacement of a check valve in a hydraulic piston pump,2332-1180,10.1080/14399776.2016.1160718,"['Anthony L. Knutson', 'James D. Van de Ven']","['Department of Mechanical Engineering, University of Minnesota, Minneapolis, MN, USA', 'Department of Mechanical Engineering, University of Minnesota, Minneapolis, MN, USA']",2016-08-01,114-124,"A variety of methods have previously been applied to modelling hydraulic check valves. While the theoretical framework has been established, robust experimental validation of check valve models is lacking. When present, validation methods typically rely on measurements of pressure differential or flow rates, from which check valve dynamics are inferred. In this paper, a lumped parameter model is constructed for a disc style check valve used to control the inlet and outlet flow of a piston pump. Pressure, spring, contact, stiction, and flow forces are investigated to determine which have a significant effect on the check valve dynamics. An experimental pump circuit is constructed and an acrylic sight glass is installed on the check valve manifolds. A method of directly measuring the check valve position during operation using a Laser Triangulation Sensor (LTS) is developed by applying Snell’s law to the air-acrylic and acrylic-oil interfaces and calculating laser refraction to obtain a relationship between valve position and LTS voltage output. Modelled valve position and flow rates are compared to experimental data for three sets of operating conditions – baseline, high speed, and high pressure. In all three cases, modelled inlet and delivery valve displacement closely agree with experimental measurements. Error between predicted and measured flow rates is less than 3% for all cases.",https://journals.riverpublishers.com/index.php/IJFP/article/view/173,"['Hydraulic valve', 'check valve', 'laser triangulation', 'stiction', 'flow forces', 'experimental validation']"
3,Journal of Web Engineering,"Applying Feature-Oriented Software Development in SaaS Systems: Real Experience, Measurements, and Findings",1544-5976,,"['Oscar Pedreira', 'Fernando Silva-Coira', 'Ángeles Saavedra Places', ' Miguel R. Luaces', 'Leticia González Folgueira']","['Universidade da Coruña, Centro de Investigación CITIC, Facultade de Informática, A Coruña, Spain', 'Universidade da Coruña, Centro de Investigación CITIC, Facultade de Informática, A Coruña, Spain', 'Universidade da Coruña, Centro de Investigación CITIC, Facultade de Informática, A Coruña, Spain', 'Universidade da Coruña, Centro de Investigación CITIC, Facultade de Informática, A Coruña, Spain', 'Enxenio S.L., A Coruña, Spain']",2019,,"Distributing software as a service (SaaS) has become a major trend for web-based systems. However, this software distribution model poses many challenges. One of them is feature variability, that is, some features of the system may be required by some users, but not by all of them. In addition, variability is more complex than just including or excluding a feature, since different types of relationships may exist between features. The implementation of this variability, and the parametrization and configuration of the system can be complex in this context, so the development process of a SaaS system must adequately address variability management. In this paper we present an experience applying feature oriented software development (FOSD) in the context of SaaS web-based systems development. We present a real experience in the development of a web-based system for managing home care services for dependent people. The article describes the problem of variability management in this domain, and the feature model of the system. Finally, we present an empirical evaluation of the feature model of the system based on data obtained from its real deployment after two years of use. The empirical evaluation was based on state-of-the-art measures for variability management, and revealed relevant insights for software development in this context.",https://journals.riverpublishers.com/index.php/JWE/article/view/3159,"['feature oriented software development', 'feature oriented domain analysis', 'variability management', 'software as a service', 'feature model metrics']"
4,International Journal of Fluid Power,DESIGN ANALYSIS AND CONTROL OF A MAGNETORHEOLOGICAL FLUID BASED TORQUE TRANSFER DEVICE,2332-1180,,"['Constantin Ciocanel', 'Mohammad H. Elahinia', 'Kevin E. Molyet', 'Nagi G. Naganathan']","['Northern Arizona University - M.E. Department, 15600 S. McConnell Dr., Flagstaff, Arizona 86001', 'The University of Toledo - M.I.M.E. Department, 2801 W. Bancroft St., Toledo, Ohio 43606', 'The University of Toledo - M.I.M.E. Department, 2801 W. Bancroft St., Toledo, Ohio 43606', 'The University of Toledo - M.I.M.E. Department, 2801 W. Bancroft St., Toledo, Ohio 43606']",2008-11-01,19-24,"In this paper, a magnetorheological (MR) torque transfer device is presented. Design, modeling and control aspects are particularly emphasized. MR fluids possess the unique ability to undergo dramatic and nearly completely reversible changes in their rheological properties under the application of a magnetic field. These controllable fluids can serve as quiet, rapid interfaces between electronic controls and mechanical systems. One area of application is to use these fluids as actuators. The MR torque transfer device proposed here can function as either a clutch or a brake. A model providing torque output as a function of magnetic field and rotational speed is proposed and verified experimentally. An acceptable correlation is found between model predictions and clutch performance. A PID controller is designed and experimentally evaluated. In the experimental control setup, the output variables are the position, velocity, and torque at the output shaft and the control input is the electromagnet current. The closed loop performance of the system was studied for torque regulation and torque tracking. Both regulation as well as tracking torque control were successfully achieved with this controller.",https://journals.riverpublishers.com/index.php/IJFP/article/view/518,"['magnetorheological (MR) fluid', 'clutch', 'control']"
5,International Journal of Fluid Power,"Digital hydraulic multi-pressure actuator – the concept, simulation study and first experimental results",2332-1180,10.1080/14399776.2017.1302775,"['Mikko Huova', 'Arttu Aalto', 'Matti Linjama', 'Kalevi Huhtala', 'Tapio Lantela', 'Matti Pietola']","['Laboratory of Automation and Hydraulic Engineering (AUT ), Tampere University of Technology (TUT), Tampere, Finland', 'Laboratory of Automation and Hydraulic Engineering (AUT ), Tampere University of Technology (TUT), Tampere, Finland', 'Laboratory of Automation and Hydraulic Engineering (AUT ), Tampere University of Technology (TUT), Tampere, Finland', 'Laboratory of Automation and Hydraulic Engineering (AUT ), Tampere University of Technology (TUT), Tampere, Finland', 'Department of Engineering Design and Production, Aalto University, Espoo, Finland', 'Department of Engineering Design and Production, Aalto University, Espoo, Finland']",2017-11-01,141-152,"The decentralisation of hydraulic systems is a recent trend in industrial hydraulics. Speed variable drive is one concept where an actuator is driven by an integrated pump, thus removing the need for control valves or complex centralised variable displacement hydraulic units and long pipelines. The motivation for the development is the need to improve the energy efficiency and flexibility of drives. A similar solution to mobile hydraulics is not currently available. This paper studies a digital hydraulic approach, which includes a local hydraulic energy storage located together with the actuator, the means to convert efficiently energy from the storage to mechanical work and a small start-/stop-type pump unit sized according to mean power. The simulation results and first experimental results show that the approach has remarkable energy saving potential compared to traditional valve controlled systems, but further research is needed to improve the controllability.",https://journals.riverpublishers.com/index.php/IJFP/article/view/148,"['integrated actuator', 'hybrid actuator', 'Digital hydraulics']"
6,International Journal of Fluid Power,REDUCING INFLUENCE OF ECCENTRIC LOAD ON DYNAMIC CHARACTERISTICS OF ROTARY ACTUATOR,2332-1180,,"['Ye Qian Ye Qian', 'Meng GuoXiang']","['SMC pneumatic technical Center, Mechanical Engineering School, Shanghai Jiao Tong University, Dong Chuan road 800, Min Hang district, Shanghai, China, 200240SMC pneumatic technical Center, Mechanical Engineering School, Shanghai Jiao Tong University, Dong Chuan road 800, Min Hang district, Shanghai, China, 200240', 'SMC pneumatic technical Center, Mechanical Engineering School, Shanghai Jiao Tong University, Dong Chuan road 800, Min Hang district, Shanghai, China, 200240']",2007-08-01,17-24,"The main objective of this study is to reduce the eccentric load’s influence on the dynamic characteristics of a horizontally installed rotary actuator. The solution is drilling a hole into the rotary shaft of a rotary cylinder. With the rotation of the rotary actuator the hole will open and connect the two working chambers within a certain angular range, the back pressure will increase and the torque introduced by the back pressure partly compensates for the torque of the eccentric load. The design procedure for the connecting hole is as follows: First, experiments that study the effect of eccentric loads on the dynamic characteristics of a rotary actuator were carried out, and a stability index αv was proposed; Second, a mathematical model including the connecting hole was built; Third, a real–coded GA optimization design for the connecting hole whose object is to minimize αv was conducted. Simulations and test results show that the method worked efficiently.",https://journals.riverpublishers.com/index.php/IJFP/article/view/539,"['pneumatic rotary actuator', 'eccentric load', 'instability', 'real-coded genetic algorithm', 'optimization design']"
7,Journal of Web Engineering,Model-Driven Skills Assessment in Knowledge Management Systems,1544-5976,,"['Antonio Balderas', 'Juan Antonio Caballero-Hernández', 'Juan Manuel Dodero', 'Manuel Palomo-Duarte', 'Iván Ruiz-Rube']","['Department of Computer Science, University of Cadiz, Av. de la  Universidad de Cá diz 10, 11519, Puerto Real, Spain', 'EVAL for Research Group, University of Cadiz, Av. República Árabe Saharaui s/n, 11519, Puerto Real, Spain', ' Department of Computer Science, University of Cadiz, Av. de la  Universidad de Cá diz 10, 11519, Puerto Real, Spain', 'Department of Computer Science, University of Cadiz, Av. de la  Universidad de Cá diz 10, 11519, Puerto Real, Spain', 'Department of Computer Science, University of Cadiz, Av. de la  Universidad de Cá diz 10, 11519, Puerto Real, Spain']",2019,,"Organizations need employees who perform satisfactorily in generic skills, such as teamwork, leadership, problem solving or interpersonal abilities, among others. In organizational environments, employees perform work that is not always visible for supervisors and, thus, they can hardly assess their performance in generic skills. By using a knowledge management system, the users are able to leave a trace of their activity in the system’s records. This research aims to address a computer supported assessment of the user’s generic skills from the perspective of Model-Driven engineering. First, a systematic mapping study is carried out to understand the state of the art. Second, a proposal based on Model-Driven engineering is presented and is then validated through an organizational learning process model. Our results are promising and we are able to conduct a scalable assessment based on objective indicators of the employee’s planning, time management and problem solving skills.",https://journals.riverpublishers.com/index.php/JWE/article/view/3153,"['knowledge management system', 'generic skills assessment', 'organizational learning', 'Model-Driven engineering']"
8,International Journal of Fluid Power,Method for combining valves with symmetric and asymmetric cylinders for hydraulic systems,2332-1180,10.1080/14399776.2018.1483164,"['Mário C. Destro', 'Victor J. de Negri']","['LASHIP, Department of Mechanical Engineering, Federal University of Santa Catarina,Florianópilis, SC, Brazil', 'LASHIP, Department of Mechanical Engineering, Federal University of Santa Catarina,Florianópilis, SC, Brazil']",2018-11-01,126–139,"Electro-hydraulic position control systems are widely applied in several fields. The valve and cylinder configuration and the dimensioning of these systems is dependent on the requested transient response and the load profile. One of the primary factors in this regards is the selection of an asymmetric or symmetric cylinder, considering issues such as the area available for installation and the asymmetry of the external loading. According to the classical literature, the valve control orifice areas must be matched with the cylinder areas to ensure balanced pressure variation in the cylinder chambers. Moreover, considering that several real applications use non-matched components, it is evident that, depending on the system parameters and load characteristics, good performance can be obtained with this system configuration. Based on non-linear dynamic modelling and experimental results, the transient instants when cavitation or high pressure peaks can occur are determined. Subsequently, a set of equations establishing the relationship between the valve control orifice ratio and cylinder area ratio are derived. A method for determining the valve characteristics, based on parameters such as moved mass, external load force and cylinder asymmetry, is presented. The results obtained are also valid for speed control in open or closed loop system.",https://journals.riverpublishers.com/index.php/IJFP/article/view/425,"['Electro-hydraulic system', 'hydraulic circuit design', 'component sizing', 'asymmetric and symmetric cylinder', 'proportional valve']"
9,International Journal of Fluid Power,APPLICATION OF EXTENDED KALMAN FILTER IN A METERING POPPET VALVE SYSTEM,2332-1180,,"['Chang Li', 'Roger Fales']","['Rolf Fluid Power Lab, Mechanical and Aerospace Engineering University of Missouri-Columbia Columbia, Missouri 65211', 'Rolf Fluid Power Lab, Mechanical and Aerospace Engineering University of Missouri-Columbia Columbia, Missouri 65211']",2009-11-01,17-25,"This work focuses on an accurate Extended Kalman Filter (EKF) estimator, which is applied to a forced-feedback metering poppet valve system (FFMPVS). The EKF estimator is used to estimate the position and velocity of the main poppet valve, position and velocity of the pilot poppet valve and pressures within the pilot stage of the valve. The EKF estimator takes advantage of its recursive optimal state estimation to estimate the states of this metering poppet valve by using one pressure signal measurement. The results from the EKF are compared with the simulation results from the model and also compared with the states which can be measured from the physical system set up in the lab. It is shown that the EKF estimator tracks the states accurately for both the steady-state and transient performance. The EKF estimator has robustness to parameter variations. It is shown specifically that the EKF estimator has robustness to an example of model uncertainty, variations in the spring stiffness parameter.",https://journals.riverpublishers.com/index.php/IJFP/article/view/503,"['Extended Kalman Filter', 'metering poppet valve', 'robustness']"
